p_category|p_name|p_description
Beverage|Coffee|Rich and aromatic coffee, perfect for a morning energy boost or afternoon pick-me-up.
Beverage|Green Tea|Light and refreshing green tea, full of antioxidants and calming flavor.
Beverage|Smoothie|Fruity smoothie blended with yogurt, a healthy and delicious snack option.
Beverage|Lemonade|Cool and tangy lemonade, a refreshing choice for hot summer days.
Beverage|Hot Chocolate|Creamy hot chocolate topped with whipped cream, a comforting winter drink.
Beverage|Herbal Tea|Caffeine-free herbal tea with soothing flavors, ideal for relaxation.
Beverage|Iced Coffee|Chilled iced coffee with a bold taste, perfect for warm afternoons.
Beverage|Energy Drink|High-energy drink with caffeine and vitamins for instant refreshment.
Beverage|Milkshake|Thick and creamy milkshake available in chocolate, vanilla, and strawberry.
Beverage|Sparkling Water|Bubbly sparkling water with natural flavors, a light alternative to soda.
Clothing|T-Shirt|Casual cotton t-shirt, breathable and comfortable for daily wear.
Clothing|Jeans|Classic denim jeans, durable and stylish for everyday use.
Clothing|Jacket|Warm and trendy jacket, perfect for layering in colder weather.
Clothing|Sneakers|Sporty sneakers with cushioned soles, great for walking and running.
Clothing|Dress|Elegant dress suitable for both casual outings and special occasions.
Clothing|Hoodie|Cozy hoodie with a front pocket and adjustable hood, perfect for comfort.
Clothing|Shorts|Lightweight shorts, great for summer or workout sessions.
Clothing|Blazer|Formal blazer, adding sophistication to office or evening attire.
Clothing|Sandals|Comfortable sandals with soft straps, ideal for warm weather.
Clothing|Scarf|Stylish scarf made of soft fabric, perfect for layering and accessorizing.
Book|Novel|Engaging novel filled with complex characters and gripping plots.
Book|Cookbook|Practical cookbook with easy-to-follow recipes and cooking tips.
Book|Biography|Inspirational biography detailing the life and achievements of a notable person.
Book|Science Fiction|Imaginative science fiction book exploring futuristic concepts and worlds.
Book|Mystery|Thrilling mystery book packed with suspense and unexpected twists.
Book|Poetry|Beautiful collection of poems expressing emotions and vivid imagery.
Book|History|Detailed history book covering key events, cultures, and civilizations.
Book|Travel Guide|Comprehensive travel guide with tips, maps, and must-visit places.
Book|Children’s Book|Colorful children’s book with engaging stories and illustrations.
Book|Self-Help|Motivational self-help book focused on personal growth and productivity.
Appliance|Refrigerator|Energy-efficient refrigerator with adjustable shelves and spacious compartments.
Appliance|Microwave|Compact microwave oven with multiple cooking presets and quick heating.
Appliance|Washing Machine|Automatic washing machine with multiple wash cycles and high efficiency.
Appliance|Air Conditioner|Powerful air conditioner with temperature control and quiet operation.
Appliance|Vacuum Cleaner|Lightweight vacuum cleaner with strong suction and easy handling.
Appliance|Blender|Multi-speed blender, perfect for smoothies, sauces, and soups.
Appliance|Oven|Electric oven with precise temperature control for baking and roasting.
Appliance|Fan|Portable electric fan with adjustable speed settings and oscillation.
Appliance|Toaster|Compact toaster with multiple slots and browning settings.
Appliance|Coffee Maker|Automatic coffee maker with programmable timer and brewing options.
